EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
ROOTSHELL ENTERPRISE TECHNOLOGIES INC,EDUCATION,1,1,73091,80000,CERTIFIED,6909
SKILLSIGHT INC,ENGINEERS,1,1,62754,65000,CERTIFIED,2246
JETCOM INC,COMPUTER OCCUPATION,1,1,55744,90000,CERTIFIED,34256
FACEBOOK INC,COMPUTER OCCUPATION,50,1,130603,131500,CERTIFIED,897
MERITDIRECT LLC,COMPUTER OCCUPATION,1,1,46675,50000,CERTIFIED,3325
INTRAEDGE INC,COMPUTER OCCUPATION,1,1,76336,80000,CERTIFIED,3664
TIBCO SOFTWARE INC,ENGINEERS,1,1,83013,92000,CERTIFIED,8987
EDU INFOTECH INTERNATIONAL RESOURCES INC,COMPUTER OCCUPATION,1,1,40690,41000,CERTIFIED,310
I 9 TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,74277,80000,CERTIFIED,5723
TATA CONSULTANCY SERVICES LIMITED,ENGINEERS,2,1,74901,74901,CERTIFIED,0
ORION SYSTEMS INTEGRATORS LLC,COMPUTER OCCUPATION,1,1,61755,85000,CERTIFIED,23245
DW MATRIX INC,COMPUTER OCCUPATION,1,1,77272,77300,CERTIFIED,28
LandT TECHNOLOGY SERVICES LTD,COMPUTER OCCUPATION,1,1,53061,63000,CERTIFIED,9939
HEXAWARE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,90646,107000,CERTIFIED,16354
T MOBILE USA INC,ENGINEERS,1,1,95306,96000,CERTIFIED,694
BENDIX COMMERCIAL VEHICLE SYSTEMS LLC,COACHES AND SCOUTS,1,1,75712,82000,CERTIFIED,6288
THE DOW CHEMICAL COMPANY,FINANCE,1,1,91832,91832,CERTIFIED,0
TATA CONSULTANCY SERVICES LIMITED,FINANCE,1,1,69742,69742,CERTIFIED,0
UNIVERSITY OF CONNECTICUT,INTERNIST,1,1,69680,75000,CERTIFIED,5320
SAVI TECHNOLOGIES INC,ENGINEERS,1,1,59966,61000,CERTIFIED,1034
JOHN TESLA INC,COMPUTER OCCUPATION,1,1,62754,65000,CERTIFIED,2246
ACCENTURE LLP,ANALYSTS,1,1,82826,110000,CERTIFIED,27174
ASPEN TECHNOLOGY INC,ANALYSTS,1,1,74818,77000,CERTIFIED,2182
FIRST TEK INC,COMPUTER OCCUPATION,1,1,78832,78832,CERTIFIED,0
INNOMINDS SOFTWARE INC,COMPUTER OCCUPATION,5,1,124675,124675,CERTIFIED,0
SMART SOLUTIONS INC,ENGINEERS,1,1,59093,75000,CERTIFIED,15907
HSK TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,53102,72000,CERTIFIED,18898
WIPRO LIMITED,MARKETING,1,1,93142,93142,CERTIFIED,0
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,67891,67891,CERTIFIED,0
HARMONY PLUS INC,COMPUTER OCCUPATION,1,1,71906,75000,CERTIFIED,3094
TATA CONSULTANCY SERVICES LIMITED,ENGINEERS,1,1,69493,69493,CERTIFIED,0
ASARCO LLC,ANALYSTS,1,1,81058,98400,CERTIFIED,17342
HEXAWARE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,82534,82600,CERTIFIED,66
RALLY HEALTH INC,EDUCATION,1,1,117770,117770,CERTIFIED,0
IBM CORPORATION,COMPUTER OCCUPATION,1,1,87651,121164,CERTIFIED,33513
UNIVERSITY OF CALIFORNIA BERKELEY,IT MANAGERS,1,1,56400,56400,CERTIFIED,0
INOVANT LLC,COMPUTER OCCUPATION,1,1,116875,130603,CERTIFIED,13728
MPRSOFT INC,COMPUTER OCCUPATION,1,1,74173,90000,CERTIFIED,15827
AMAZON CORPORATE LLC,ANALYSTS,10,1,129064,130000,CERTIFIED,936
UNIVERSITY OF MARYLAND MEDICAL SYSTEM,ENGINEERS,1,1,58323,95118,CERTIFIED,36795
ZENSAR TECHNOLOGIES INC,DOCTORS,8,1,63690,63690,CERTIFIED,0
ACCENTURE LLP,ANALYSTS,1,1,68557,68557,CERTIFIED,0
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,5,1,34923,60100,CERTIFIED,25177
KPMG LLP,COMPUTER OCCUPATION,1,1,62213,110000,CERTIFIED,47787
HEXAWARE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,61048,66000,CERTIFIED,4952
OM PARTNERS USA,COMPUTER OCCUPATION,1,1,58510,59000,CERTIFIED,490
BIRLASOFT INC,ANALYSTS,20,1,61048,62000,CERTIFIED,952
PALVAI GLOBAL SERVICES INC,COMPUTER OCCUPATION,1,1,79019,79019,CERTIFIED,0
ORACLE AMERICA INC,COMPUTER OCCUPATION,10,1,99757,99757,CERTIFIED,0
APPLE INC,ANALYSTS,50,1,124675,124675,CERTIFIED,0
QUADGEN WIRELESS SOLUTIONS INC,COMPUTER OCCUPATION,1,1,59301,59301,CERTIFIED,0
MAXIM INTEGRATED PRODUCTS INC,COMPUTER OCCUPATION,1,1,90497,99386.5,CERTIFIED,8889.5
NEA CONSULTING INC,COMPUTER OCCUPATION,1,1,63357,63357,CERTIFIED,0
KINEMS INC,EDUCATION,1,1,72301,80000,CERTIFIED,7699
AMBA SYSTEMS LLC,ANALYSTS,1,1,78957,85000,CERTIFIED,6043
MOUNT PLEASANT INDEPENDENT SCHOOL DISTRICT,COMPUTER OCCUPATION,1,1,39920,41540,CERTIFIED,1620
ASTIR IT SOLUTIONS INC,ANALYSTS,1,1,79498,80000,CERTIFIED,502
INVICTUS INFOTECH LLC,COMPUTER OCCUPATION,1,1,55661,56000,CERTIFIED,339
SYGNTECH SYSTEMS INC,ENGINEERS,1,1,58968,70000,CERTIFIED,11032
SOUTH FLORIDA VETERANS AFFAIRS FOUNDATION FOR RESEARCH AND EDUCATION,ENGINEERS,1,1,31886,41850,CERTIFIED,9964
TOULOUKIAN TOULOUKIAN INC,HUMAN RESOURCES,1,1,38938,38938,CERTIFIED,0
XCELTRAIT INC,MARKETING,1,1,68827,68827,CERTIFIED,0
FIRST TEK DOS LLC,COMPUTER OCCUPATION,1,1,52166,60000,CERTIFIED,7834
HANDEL ARCHITECTS LLP,COMPUTER OCCUPATION,1,1,57096,61000,CERTIFIED,3904
EPITEC INC,COMPUTER OCCUPATION,1,1,84656,100880,CERTIFIED,16224
LEAD IT CORPORATION,COMPUTER OCCUPATION,1,1,66186,66186,CERTIFIED,0
METROPOLITAN TRANSPORTATION COMMISSION,COMPUTER OCCUPATION,1,1,80766,82486,CERTIFIED,1720
VST CONSULTING INC,MARKETING,1,1,81078,81100,CERTIFIED,22
GOOGLE INC,COMPUTER OCCUPATION,1,1,105010,135000,CERTIFIED,29990
VENSAR TECHNOLOGY INC,LAWYERS AND LEGAL SUPPORT WORKERS,1,1,52166,65000,CERTIFIED,12834
TATA CONSULTANCY SERVICES LIMITED,LAB TECHNICIANS,1,1,73320,73320,CERTIFIED,0
HARMONY PUBLIC SCHOOLS,COMPUTER OCCUPATION,1,1,50086,50086,CERTIFIED,0
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,108555,133000,CERTIFIED,24445
HCL AMERICA INC,COMPUTER OCCUPATION,1,1,83304,83304,CERTIFIED,0
VJ ASSOCIATES INC OF SUFFOLK,MANAGERS,1,1,73840,83000,CERTIFIED,9160
AMERICAN HARDWOOD INDUSTRIES,COMPUTER OCCUPATION,1,1,109283,109283,CERTIFIED,0
SYNTEL CONSULTING INC,ENGINEERS,1,1,62234,62234,CERTIFIED,0
ROBERT BOSCH LLC,ECONOMISTS,1,1,87381,87381,CERTIFIED,0
UNIVERSITY OF ILLINOIS AT CHICAGO,MATHEMATICIANS AND STATISTICIANS,1,1,41496,62500,CERTIFIED,21004
GLOBAL DATA MART INC,COMPUTER OCCUPATION,1,1,58252,60000,CERTIFIED,1748
THE SERVICEMASTER COMPANY LLC,FINANCE,1,1,84219,84219,CERTIFIED,0
AMDOCS INC,DESIGNERS,1,1,83678,96738,CERTIFIED,13060
SEJONG LLP,EDUCATION,1,0,55764.8,55764.8,CERTIFIED,0
LADAS and PARRY LLP,COMPUTER OCCUPATION,1,1,53435,53436,CERTIFIED,1
YES HARDSOFT SOLUTIONS INC,MARKETING,1,1,64230,66000,CERTIFIED,1770
X EDE IT SOLUTIONS LLC,MARKETING,1,1,52478,60000,CERTIFIED,7522
ACCENTURE LLP,ANALYSTS,1,1,90813,102900,CERTIFIED,12087
MALVI SYSTEMS LLC,COMPUTER OCCUPATION,1,1,66997,67000,CERTIFIED,3
PROLIFICS INC,DOCTORS,1,1,80870,80870,CERTIFIED,0
WINDYCITY TECHNOLOGIES INC,MARKETING,1,1,61922,63000,CERTIFIED,1078
PERSISTENT SYSTEMS INC,COMPUTER OCCUPATION,1,1,95306,95306,CERTIFIED,0
SQUILLION SYSTEMS LLC,ENGINEERS,1,1,61214,62004,CERTIFIED,790
MPHASIS CORPORATION,COMPUTER OCCUPATION,25,1,90813,90813,CERTIFIED,0
AMAZON CORPORATE LLC,ANALYSTS,1,1,91624,128000,CERTIFIED,36376
OMS NATIONAL INSURANCE COMPANY,COMPUTER OCCUPATION,1,1,71843,72000,CERTIFIED,157
APPLE INC,ANALYSTS,1,1,124675,138000,CERTIFIED,13325
PRINCIPAL POWER INC,COMPUTER OCCUPATION,1,1,76794,77000,CERTIFIED,206
FACEBOOK INC,COMPUTER OCCUPATION,1,1,88803,105333.59,CERTIFIED,16530.59
MERCER US INC,COMPUTER OCCUPATION,1,1,86590,86600,CERTIFIED,10
CAPGEMINI AMERICA INC,ANALYSTS,1,1,59280,60000,CERTIFIED,720
UP MANAGEMENT LLC,FINANCE,1,1,106517,107000,CERTIFIED,483
PARADIGM INFO TECH INC,COMPUTER OCCUPATION,1,1,83346,86507,CERTIFIED,3161
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,64501,82000,CERTIFIED,17499
TECH MAHINDRA AMERICAS INC,ENGINEERS,1,1,83678,140000,CERTIFIED,56322
LUMENTUM OPERATIONS LLC,COMPUTER OCCUPATION,5,1,117154,117154,CERTIFIED,0
SNAP INC,ENGINEERS,1,1,108638,110000,CERTIFIED,1362
CISNEROS MEDIA DISTRIBUTION LLC,ANALYSTS,1,1,120515,120515,CERTIFIED,0
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,ENGINEERS,1,1,68494,68900,CERTIFIED,406
INTONE NETWORKS INC,COMPUTER OCCUPATION,1,1,79331,79500,CERTIFIED,169
WINSOME IT INC,ACCOUNTANTS,1,1,47154,60000,CERTIFIED,12846
ASCENT PHARMACEUTICALS INC,ANALYSTS,1,1,47861,55000,CERTIFIED,7139
IBM CORPORATION,COMPUTER OCCUPATION,1,1,131997,135171,CERTIFIED,3174
MICROSTRATEGY SERVICES CORPORATION,COMPUTER OCCUPATION,10,1,83304,83304,CERTIFIED,0
MERGEN IT LLC,COMPUTER OCCUPATION,1,1,46301,50000,CERTIFIED,3699
ANTRA INC,EDUCATION,1,1,66518,67000,CERTIFIED,482
ACCUEN INC,ANALYSTS,1,1,46675,47000,CERTIFIED,325
TATA CONSULTANCY SERVICES LIMITED,IT MANAGERS,1,1,67829,67829,CERTIFIED,0
AIG EMPLOYEE SERVICES INC,ANALYSTS,1,1,56867,77000,CERTIFIED,20133
12TH WONDER LLC,ANALYSTS,1,1,80870,80870,CERTIFIED,0
IWIN GROUP CORP,COMPUTER OCCUPATION,1,0,59696,59696,CERTIFIED,0
SRS CONSULTING INC,EDUCATION,1,1,94619,95000,CERTIFIED,381
SPECTRUM HEALTH SYSTEM,ENGINEERS,1,1,50253,57512,CERTIFIED,7259
THE BOSTON CONSULTING GROUP INC,ENGINEERS,1,0,58198.4,75608,CERTIFIED,17409.6
ECLINICALWORKS LLC,COMPUTER OCCUPATION,1,1,69493,76300,CERTIFIED,6807
BAYVIEW ASSET MANAGEMENT,ANALYSTS,1,1,48818,60000,CERTIFIED,11182
SIVALTECH INC,COMPUTER OCCUPATION,1,1,131955,145000,CERTIFIED,13045
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,73486,83505,CERTIFIED,10019
INFOSYS LIMITED,ENGINEERS,1,1,66414,83068,CERTIFIED,16654
IDRIL SERVICES CORPORATION,COMPUTER OCCUPATION,1,1,50523,55400,CERTIFIED,4877
KABBAGE INC,COMPUTER OCCUPATION,1,1,58510,115000,CERTIFIED,56490
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,95306,95306,CERTIFIED,0
HCL AMERICA INC,COMPUTER OCCUPATION,1,1,69659,69659,CERTIFIED,0
VECTORGLOBAL WMG INC,DOCTORS,1,1,46342,50000,CERTIFIED,3658
AMKOR SERVICE LLC,ANALYSTS,1,0,53123.2,54080,CERTIFIED,956.8
PENSOFT TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,62754,62754,CERTIFIED,0
SRI ANJANEYA TECHNOLOGIES LLC,EDUCATION,1,1,72821,72900,CERTIFIED,79
MICROSOFT CORPORATION,COMPUTER OCCUPATION,1,1,109512,128520,CERTIFIED,19008
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COMPUTER OCCUPATION,1,1,65790,65790,CERTIFIED,0
HCL AMERICA INC,COMPUTER OCCUPATION,5,1,104936,104936,CERTIFIED,0
DELOITTE CONSULTING LLP,SCIENTIST,15,1,59779,70000,CERTIFIED,10221
PVR AMERICA INC,COMPUTER OCCUPATION,1,1,62754,63000,CERTIFIED,246
BHS HARREX INC,ACCOUNTANTS,1,1,54704,54704,CERTIFIED,0
MAXICARE THERAPY LLC,COMPUTER OCCUPATION,1,0,71926.4,71926.4,CERTIFIED,0
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,3,1,54392,62500,CERTIFIED,8108
WASHINGTON AND LEE UNIVERSITY,SCIENTIST,1,1,37300,50000,CERTIFIED,12700
ARISTA NETWORKS INC,ANALYSTS,1,1,142596,143000,CERTIFIED,404
MPRSOFT INC,ACCOUNTANTS,1,1,87443,118000,CERTIFIED,30557
CAPGEMINI AMERICA INC,SCIENTIST,1,1,57762,60000,CERTIFIED,2238
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,50440,67089,CERTIFIED,16649
ROLL MACHINING TECHNOLOGIES AND SOLUTIONS INC,COMPUTER OCCUPATION,1,1,61922,62000,CERTIFIED,78
LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,COMPUTER OCCUPATION,1,1,113443,120000,CERTIFIED,6557
ADEPT GROUP LLC,ANALYSTS,1,1,75920,82000,CERTIFIED,6080
FLEXYTIE INC,COMPUTER OCCUPATION,1,1,68723,75000,CERTIFIED,6277
TEKLINK INTERNATIONAL INC,FINANCE,5,1,67642,74000,CERTIFIED,6358
PETSMART INC,DOCTORS,1,1,92373,113000,CERTIFIED,20627
SREE INFOTECH LLC,COMPUTER OCCUPATION,1,1,68827,69000,CERTIFIED,173
PRICEWATERHOUSECOOPERS LLP,COMPUTER OCCUPATION,1,1,48880,52000,CERTIFIED,3120
TEKNOS ASSOCIATES LLC,FINANCE,1,0,75337.6,75337.6,CERTIFIED,0
HCL AMERICA INC,COMPUTER OCCUPATION,1,1,105414,105414,CERTIFIED,0
RED,EDUCATION,1,1,112902,145000.18,CERTIFIED,32098.18
PVR AMERICA INC,COMPUTER OCCUPATION,1,1,62754,63000,CERTIFIED,246
MODERN MEADOW INC,COMPUTER OCCUPATION,1,1,58386,67000,CERTIFIED,8614
TISHMAN SPEYER PROPERTIES LP,FINANCE,1,1,106870,130000,CERTIFIED,23130
BITWISE INC,ANALYSTS,1,1,52166,75000,CERTIFIED,22834
TRINITY INDUSTRIES INC,ANALYSTS,1,1,66144,82000,CERTIFIED,15856
LOGISTIC SOLUTIONS INC,COMPUTER OCCUPATION,1,1,65083,70500,CERTIFIED,5417
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,94619,99028,CERTIFIED,4409
KESSLER FOUNDATION,COMPUTER OCCUPATION,1,1,42536,45320,CERTIFIED,2784
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,78208,78208,CERTIFIED,0
ZHAI and WANG LLP,MARKETING,1,0,59363.2,60008,CERTIFIED,644.8
BARCLAYS CAPITAL INC,ANALYSTS,1,1,95160,104000,CERTIFIED,8840
ORACLE AMERICA INC,COMPUTER OCCUPATION,10,1,112391,112391,CERTIFIED,0
PROFICIENT BUSINESS SYSTEMS INC,DOCTORS,1,1,68515,68515,CERTIFIED,0
HIH INC,COMPUTER OCCUPATION,1,1,80995,91000,CERTIFIED,10005
WIPRO LIMITED,MANAGERS,1,1,68952,68952,CERTIFIED,0
JPMORGAN CHASE and CO,COMPUTER OCCUPATION,1,1,62317,109900,CERTIFIED,47583
NORTH AMERICAN LIGHTING INC,COMPUTER OCCUPATION,1,1,62650,80000,CERTIFIED,17350
GOOGLE INC,COMPUTER OCCUPATION,1,1,105010,110000,CERTIFIED,4990
MOLABS MEDIA LLC,COMPUTER OCCUPATION,1,1,72467,72467,CERTIFIED,0
FACTORY MUTUAL INSURANCE COMPANY,ANALYSTS,1,1,98700,99000,CERTIFIED,300
SYSTEMS TECHNOLOGY GROUP INC,ACCOUNTANTS,1,1,52312,54995.2,CERTIFIED,2683.2
THE TJX COMPANIES INC,SCIENTIST,1,1,98114,115001,CERTIFIED,16887
APPLIED MATERIALS INC,ANALYSTS,1,1,81370,100813,CERTIFIED,19443
UST GLOBAL INC,FINANCE,1,1,47154,56000,CERTIFIED,8846
FUNDTECH CORPORATION,COMPUTER OCCUPATION,1,1,76211,108555,CERTIFIED,32344
STILL CONSTRUCTION COMPANY INC,ENGINEERS,1,1,34756.8,34840,CERTIFIED,83.2
VIRTUSA CORPORATION,MARKETING,1,1,55931,77430,CERTIFIED,21499
MICROSOFT CORPORATION,COMPUTER OCCUPATION,1,1,122533,142630,CERTIFIED,20097
AMAZON CORPORATE LLC,ANALYSTS,1,1,106101,115000,CERTIFIED,8899
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,110219,118500,CERTIFIED,8281
XCALAR INC,REPORTERS AND CORRESPONDENTS,1,1,124675,130000,CERTIFIED,5325
BLUE FUSION ENTERPRISE TECHNOLOGIES INC,ANALYSTS,1,1,74651,74651,CERTIFIED,0
HEARTLAND EMPLOYMENT SERVICES LLC,COMPUTER OCCUPATION,1,0,69534.4,69534.4,CERTIFIED,0
VI GOVERNMENT HOSPITAL and HEALTH FACILITIES CORPORATION,ENGINEERS,1,0,90625.6,91520,CERTIFIED,894.4
CHERRY CENTRAL COOPERATIVE INC,ARCHITECTURE,1,1,72072,75000,CERTIFIED,2928
TECHBITS INC,ENGINEERS,1,1,51397,55000,CERTIFIED,3603
SYNTEL CONSULTING INC,COMPUTER OCCUPATION,1,1,49026,61000,CERTIFIED,11974
AIRBIQUITY INC,ANALYSTS,1,1,106101,111000,CERTIFIED,4899
OPERATING SYSTEM SERVICES INC,ANALYSTS,1,1,60965,62000,CERTIFIED,1035
KOHLER COMPANY,COMPUTER OCCUPATION,1,1,72509,81650,CERTIFIED,9141
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,63398,65266,CERTIFIED,1868
TEAMSOFT TECHNOLOGIES LLC,ENGINEERS,1,1,74547,75000,CERTIFIED,453
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COMPUTER OCCUPATION,1,1,138299,138299,CERTIFIED,0
KAIROS INVESTMENT MANAGEMENT COMPANY LLC,COMPUTER OCCUPATION,1,1,91437,110000,CERTIFIED,18563
TEK SERVICES LLC,ENGINEERS,1,1,46301,71100,CERTIFIED,24799
SOLEBRITY INC,COMPUTER OCCUPATION,1,1,70803.2,70803.2,CERTIFIED,0
APPS ASSOCIATES LLC,HUMAN RESOURCES,1,1,63710,70000,CERTIFIED,6290
MAIN VALLEY INC,COMPUTER OCCUPATION,1,0,35172.8,35360,CERTIFIED,187.2
LandT TECHNOLOGY SERVICES LIMITED,COMPUTER OCCUPATION,1,1,75712,75712,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,93475,100067,CERTIFIED,6592
WIPRO LIMITED,IT MANAGERS,1,1,63794,63794,CERTIFIED,0
CLOUDRAY INC,COMPUTER OCCUPATION,1,1,47154,75000,CERTIFIED,27846
WIPRO LIMITED,MARKETING,5,1,60216,60216,CERTIFIED,0
SYNTEL INC,ENGINEERS,1,1,61506,103204,CERTIFIED,41698
ACCENTURE LLP,ANALYSTS,1,1,70616,78750,CERTIFIED,8134
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,79019,79019,CERTIFIED,0
XYLOTECH SYSTEMS INC,MATHEMATICIANS AND STATISTICIANS,1,1,59779,68000,CERTIFIED,8221
ORTHOPAEDIC SPECIALISTS OF NORTHWEST INDIANA,COMPUTER OCCUPATION,1,1,83220.8,85176,CERTIFIED,1955.2
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,1,1,110386,110386,CERTIFIED,0
BAYLOR COLLEGE OF MEDICINE,COMPUTER OCCUPATION,1,0,29078.4,46633.6,CERTIFIED,17555.2
ABROAD INTELLECT CAPITAL,ANALYSTS,1,1,77938,84000,CERTIFIED,6062
ROCKWELL ARCHITECTURE PLANNING AND DESIGN PC,DOCTORS,1,1,54163,65000,CERTIFIED,10837
COLLINSON LAW APC,ANALYSTS,1,1,89107,89500,CERTIFIED,393
HARMONIA PETROLEUM CORPORATION,COMPUTER OCCUPATION,1,0,71947.2,71947.2,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,77792,77792,CERTIFIED,0
3I INFOTECH INC,ANALYSTS,1,1,70221,70500,CERTIFIED,279
AIZOON USA INC,ACCOUNTANTS,1,1,71323,77000,CERTIFIED,5677
HCL AMERICA INC,COMPUTER OCCUPATION,1,1,84864,84864,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,78832,82059,CERTIFIED,3227
GOLD COAST IT SOLUTIONS LLC,COMPUTER OCCUPATION,1,1,63315,63315,CERTIFIED,0
FUJITSU NETWORK COMMUNICATIONS INC,COMPUTER OCCUPATION,1,1,74131,75800,CERTIFIED,1669
SHAPE SECURITY INC,DOCTORS,1,1,134971,134971,CERTIFIED,0
TRENDSET IT INC,SCIENTIST,1,1,80205,81500,CERTIFIED,1295
CLOUDURL INC,ANALYSTS,1,1,59218,120000,CERTIFIED,60782
PERFORMANCE RESOURCES NY INC,COMPUTER OCCUPATION,1,1,58718,59000,CERTIFIED,282
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,98176,108000,CERTIFIED,9824
LAMBDANETS INC,COMPUTER OCCUPATION,1,1,63814,63814,CERTIFIED,0
PRICEWATERHOUSECOOPERS LLP,COMPUTER OCCUPATION,1,1,58469,60000,CERTIFIED,1531
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,83013,83013,CERTIFIED,0
UNITED STATES COLD STORAGE INC,IT MANAGERS,1,1,70845,88600,CERTIFIED,17755
ROSE INTERNATIONAL INC,COMPUTER OCCUPATION,1,1,48090,55000,CERTIFIED,6910
APPLE INC,ANALYSTS,1,1,114608,120000,CERTIFIED,5392
UNICORN TECHNOLOGIES LLC,INTERNIST,1,1,61610,65000,CERTIFIED,3390
DOCUSIGN INC,COMPUTER OCCUPATION,1,1,117770,117770,CERTIFIED,0
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,67350,85000,CERTIFIED,17650
FIRST TEK DOS LLC,COMPUTER OCCUPATION,1,1,52229,60000,CERTIFIED,7771
MERKLE INC,COMPUTER OCCUPATION,1,1,50794,65000,CERTIFIED,14206
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,SCIENTIST,1,1,74006,100000,CERTIFIED,25994
HCL AMERICA INC,DOCTORS,1,1,54912,54912,CERTIFIED,0
WAVE ERA INC,MARKETING,1,1,55910,65000,CERTIFIED,9090
SALESFORCECOM INC,COMPUTER OCCUPATION,1,1,82430,82430,CERTIFIED,0
PROGRAMMER RESOURCES INTERNATIONAL INC,COMPUTER OCCUPATION,2,1,80995.2,104000,CERTIFIED,23004.8
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COMPUTER OCCUPATION,15,1,102918,102918,CERTIFIED,0
TANISHA SYSTEMS INC,ENGINEERS,5,1,41267,67000,CERTIFIED,25733
DENVER LANGUAGE SCHOOL,COMPUTER OCCUPATION,1,1,39470,39470,CERTIFIED,0
ERNST and YOUNG US LLP,DOCTORS,1,1,55765,63200,CERTIFIED,7435
CHINA TRAVEL CA INC,ANALYSTS,1,0,34320,34320,CERTIFIED,0
MI SOFTECH INC,COMPUTER OCCUPATION,3,1,58552,60000,CERTIFIED,1448
VENTURESOFT GLOBAL INC,IT MANAGERS,1,1,60050,60050,CERTIFIED,0
MARUTHI TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,47133,66560,CERTIFIED,19427
GLOBALLOGICINC,COMPUTER OCCUPATION,1,1,96470,96470,CERTIFIED,0
CAPGEMINI AMERICA INC,SCIENTIST,3,1,74173,74200,CERTIFIED,27
PROTOCOL INFOTECH INC DUNS 830803735,DOCTORS,1,1,65021,66000,CERTIFIED,979
FREEDMAN INTERNATIONAL INC,COMPUTER OCCUPATION,1,1,53019,53019,CERTIFIED,0
IBM CORPORATION,COMPUTER OCCUPATION,1,1,106101,106101,CERTIFIED,0
RANDSTAD TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,73944,95000,CERTIFIED,21056
USA WHEEL and TIRE OUTLET INC,MARKETING,1,1,50000,50000,CERTIFIED,0
AMAZON CORPORATE LLC,ANALYSTS,1,1,106101,121200,CERTIFIED,15099
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,3,1,84698,87000,CERTIFIED,2302
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,55765,115000,CERTIFIED,59235
QUINTARA DISCOVERY INC,COMPUTER OCCUPATION,1,1,54309,55000,CERTIFIED,691
CA INC,ANALYSTS,1,1,78957,125000,CERTIFIED,46043
SAMSUNG SEMICONDUCTOR INC,COMPUTER OCCUPATION,1,1,94619,117600,CERTIFIED,22981
CHARTER GLOBAL INC,COMPUTER OCCUPATION,1,1,87360,90000,CERTIFIED,2640
TECH MAHINDRA AMERICASINC,ACCOUNTANTS,1,1,70034,70034,CERTIFIED,0
BRAINSCOPE COMPANY INC,ANALYSTS,1,1,90688,95000,CERTIFIED,4312
TECHNICAL STRATEGIES INC,ENGINEERS,1,1,67891,68000,CERTIFIED,109
COMPULINK MANAGEMENT CENTER INC,COMPUTER OCCUPATION,1,1,75941,75941,CERTIFIED,0
ACCENTURE LLP,ANALYSTS,1,1,84698,84700,CERTIFIED,2
CAPGEMINI AMERICA INC,ANALYSTS,1,1,50336,60000,CERTIFIED,9664
APPLICATIONS SOFTWARE TECHNOLOGY CORPORATION,ANALYSTS,3,1,46301,50000,CERTIFIED,3699
THE EMPLOYMENT GUIDE LLC,FINANCE,1,1,41600,55000,CERTIFIED,13400
INNOVECTURE,ENGINEERS,1,1,57034,65000,CERTIFIED,7966
STATE UNIVERSITY OF NEW YORK AT BUFFALO,COMPUTER OCCUPATION,1,1,34276,43692,CERTIFIED,9416
ELECTROLUX HOME PRODUCTS INC,COMPUTER OCCUPATION,1,1,61110,78000,CERTIFIED,16890
DYNAMIC SOFTWARE CONSULTANTS INC,COMPUTER OCCUPATION,1,1,68827,70000,CERTIFIED,1173
VISUAL BI SOLUTIONS INC,COMPUTER OCCUPATION,1,1,73424,100000,CERTIFIED,26576
LEAD IT CORPORATION,COMPUTER OCCUPATION,1,1,80184,80184,CERTIFIED,0
